order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,4,5,122.38,611.9
2,2,9,2,358.26,716.52
3,2,3,3,279.54,838.62
4,2,7,1,419.51,419.51
5,2,13,3,231.34,694.02
6,2,16,5,384.88,1924.4
7,3,7,3,419.51,1258.53
8,3,19,3,268.96,806.88
9,3,14,3,434.48,1303.44
10,3,8,3,362.84,1088.52
11,3,18,3,28.22,84.66
12,4,20,3,379.56,1138.68
13,4,17,3,71.82,215.46
14,5,6,3,436.94,1310.82
15,5,16,1,384.88,384.88
16,5,15,1,153.39,153.39
17,5,2,1,195.91,195.91
18,5,3,3,279.54,838.62
19,6,3,3,279.54,838.62
20,6,7,3,419.51,1258.53
21,6,11,1,236.31,236.31
22,7,2,2,195.91,391.82
23,7,5,3,436.9,1310.7
24,7,16,1,384.88,384.88
25,8,10,3,322.99,968.97
26,8,20,3,379.56,1138.68
27,9,11,2,236.31,472.62
28,9,13,2,231.34,462.68
29,10,19,2,268.96,537.92
30,10,5,5,436.9,2184.5
31,10,6,2,436.94,873.88
32,11,10,3,322.99,968.97
33,12,3,3,279.54,838.62
34,12,19,2,268.96,537.92
35,12,11,3,236.31,708.93
36,12,19,4,268.96,1075.84
37,13,9,3,358.26,1074.78
38,13,13,5,231.34,1156.7
39,13,5,3,436.9,1310.7
40,13,15,3,153.39,460.17
41,13,3,1,279.54,279.54
42,14,7,2,419.51,839.02
43,14,18,3,28.22,84.66
44,15,19,5,268.96,1344.8
45,15,4,2,122.38,244.76
46,15,10,5,322.99,1614.95
47,16,2,2,195.91,391.82
48,16,19,2,268.96,537.92
49,16,16,3,384.88,1154.64
50,17,14,5,434.48,2172.4
51,17,7,2,419.51,839.02
52,18,1,3,356.36,1069.08
53,18,1,1,356.36,356.36
54,18,18,5,28.22,141.1
55,18,17,3,71.82,215.46
56,18,19,1,268.96,268.96
57,19,5,1,436.9,436.9
58,19,6,2,436.94,873.88
59,19,9,2,358.26,716.52
60,19,7,3,419.51,1258.53
61,20,5,1,436.9,436.9
62,20,7,5,419.51,2097.55
63,20,8,1,362.84,362.84
64,20,18,2,28.22,56.44
65,20,10,3,322.99,968.97
66,21,13,2,231.34,462.68
67,21,10,5,322.99,1614.95
68,21,9,2,358.26,716.52
69,22,20,1,379.56,379.56
70,22,11,5,236.31,1181.55
71,22,4,4,122.38,489.52
72,22,6,1,436.94,436.94
73,23,20,3,379.56,1138.68
74,23,19,5,268.96,1344.8
75,23,16,4,384.88,1539.52
76,24,13,2,231.34,462.68
77,24,4,4,122.38,489.52
78,24,1,4,356.36,1425.44
79,25,14,3,434.48,1303.44
80,25,5,3,436.9,1310.7
81,25,12,4,13.19,52.76
82,25,17,5,71.82,359.1
83,26,16,2,384.88,769.76
84,26,16,3,384.88,1154.64
85,26,14,1,434.48,434.48
86,26,3,1,279.54,279.54
